11110		종로구
11140		중구
11170		용산구
11200		성동구
11230		동대문구
11320		도봉구
11380		은평구
11410		서대문구
11440		마포구
11500		강서구
11530		구로구
11560		영등포구
11590		동작구
11620		관악구
11680		강남구
11740		강동구
11260		중랑구
11350		노원구
11470		양천구
11650		서초구
11710		송파구
26110		중구
26140		서구
26170		동구
26200		영도구
26230		부산진구
26260		동래구
26290		남구
26320		북구
26350		해운대구
26380		사하구
26410		금정구
26440		강서구
28110		중구
28140		동구
28170		남구
28230		북구
28200		남동구
28260		서구
41197		부천시소사구
41195		부천시원미구
41111		수원시장안구
41113		수원시권선구
41131		성남시수정구
41133		성남시중원구
41360		남양주시
44110		대전시
41150		의정부시
41173		안양시동안구
41110		수원시
4630		송정시
41210		광명시
41230		송탄시
41250		동두천시
41310		구리시
41220		평택시
41290		과천시
41273		단원구
41350		미금시
41370		오산시
41390		시흥시
41410		군포시
41430		의왕시
41450		하남시
41710		양주시
41720		남양주시
41730		여주시
41740		평택시
41750		화성시
41115		수원시팔달구
41770		파주시
43110		청주시
41790		광주시
41800		연천군
41810		포천시
41820		가평군
41830		양평군
41840		이천군
41850		용인시
41860		안성시
41870		김포시
41880		강화군

